title,type,release_year,runtime,genres,lead_production_country,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,role,dbscan_cluster
The Amazing Race,SHOW,2001,48,reality,US,7.8,14888.0,37.313,6.804,Phil Keoghan,ACTOR,26
Heartland,SHOW,2007,44,drama,CA,8.5,17597.0,89.589,8.29,Amber Marshall,ACTOR,56
DEATH NOTE,SHOW,2006,24,animation,JP,9.0,334730.0,114.187,8.642,Mamoru Miyano,ACTOR,33
Monster,SHOW,2004,23,drama,JP,8.7,33682.0,63.186,8.577,Hidenobu Kiuchi,ACTOR,57
The Hangover,MOVIE,2009,100,comedy,US,7.7,797535.0,93.271,7.309,Bradley Cooper,ACTOR,4
Naruto,SHOW,2002,23,action,JP,8.4,107461.0,216.208,8.359,Junko Takeuchi,ACTOR,27
The Lord of the Rings: The Two Towers,MOVIE,2002,179,action,NZ,8.8,1684864.0,87.778,8.375,Viggo Mortensen,ACTOR,-1
The Lord of the Rings: The Return of the King,MOVIE,2003,201,fantasy,NZ,9.0,1865989.0,83.617,8.474,Elijah Wood,ACTOR,-1
Mononoke,SHOW,2007,22,animation,JP,8.3,2437.0,12.401,7.9,Takahiro Sakurai,ACTOR,33
Brokeback Mountain,MOVIE,2005,134,drama,CA,7.7,363924.0,28.627,7.8,Heath Ledger,ACTOR,58
Chappelle's Show,SHOW,2003,21,comedy,US,8.8,66715.0,14.284,8.0,Dave Chappelle,ACTOR,16
The Mist,MOVIE,2007,126,thriller,US,7.1,317831.0,29.464,6.884,Thomas Jane,ACTOR,19
Ancient Aliens,SHOW,2010,46,scifi,US,8.1,21.0,74.582,6.88,Giorgio A. Tsoukalos,ACTOR,36
Road to Perdition,MOVIE,2002,117,thriller,US,7.7,273370.0,21.732,7.359,Tom Hanks,ACTOR,19
Easy A,MOVIE,2010,93,comedy,US,7.0,397339.0,23.934,6.817,Emma Stone,ACTOR,4
The Mole,SHOW,2001,47,reality,US,7.7,1269.0,23.642,6.833,Jon Kelley,ACTOR,26
The Pursuit of Happyness,MOVIE,2006,117,drama,US,8.0,523095.0,53.571,7.902,Will Smith,ACTOR,1
American Pickers,SHOW,2010,46,reality,US,7.0,7997.0,27.393,7.131,Mike Wolfe,ACTOR,26
Code Geass: Lelouch of the Rebellion,SHOW,2006,24,scifi,JP,8.7,62367.0,53.711,8.471,Jun Fukuyama,ACTOR,28
Pawn Stars,SHOW,2009,25,reality,US,7.2,17171.0,78.91,7.232,Rick Harrison,ACTOR,26
My Little Pony: Friendship Is Magic,SHOW,2010,22,comedy,CA,7.7,21497.0,96.471,8.1,Tara Strong,ACTOR,59
Closer,MOVIE,2004,103,drama,GB,7.2,224756.0,17.708,6.835,Julia Roberts,ACTOR,34
The Aviator,MOVIE,2004,170,drama,US,7.5,367757.0,23.545,7.223,Leonardo DiCaprio,ACTOR,1
The Hills,SHOW,2006,23,reality,US,3.7,11389.0,11.089,4.8,Lauren Conrad,ACTOR,26
Burlesque,MOVIE,2010,119,drama,US,6.4,88047.0,14.46,7.2,Cher,ACTOR,1
Borgen,SHOW,2010,58,drama,DK,8.5,27693.0,24.1,8.082,Sidse Babett Knudsen,ACTOR,60
